starttime	seconds	ctime	dtime	ttime	wait
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	18
Mon Sep 28 20:36:50 2015	1443452810	1	18	19	18
Mon Sep 28 20:36:52 2015	1443452812	1	18	19	18
Mon Sep 28 20:36:52 2015	1443452812	2	18	19	17
Mon Sep 28 20:36:51 2015	1443452811	2	17	19	16
Mon Sep 28 20:36:52 2015	1443452812	1	18	19	18
Mon Sep 28 20:36:52 2015	1443452812	1	18	19	18
Mon Sep 28 20:36:52 2015	1443452812	1	19	19	18
Mon Sep 28 20:36:50 2015	1443452810	1	19	19	18
Mon Sep 28 20:36:50 2015	1443452810	1	19	19	18
Mon Sep 28 20:36:51 2015	1443452811	1	19	19	18
Mon Sep 28 20:36:52 2015	1443452812	2	17	19	16
Mon Sep 28 20:36:52 2015	1443452812	1	19	19	18
Mon Sep 28 20:36:52 2015	1443452812	1	19	20	18
Mon Sep 28 20:36:51 2015	1443452811	1	19	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	18
Mon Sep 28 20:36:52 2015	1443452812	1	19	20	18
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	18
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	18
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	18
Mon Sep 28 20:36:51 2015	1443452811	1	19	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	18
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	18
Mon Sep 28 20:36:51 2015	1443452811	2	18	20	17
Mon Sep 28 20:36:51 2015	1443452811	1	19	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	18
Mon Sep 28 20:36:52 2015	1443452812	2	18	20	17
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	18
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	19
Mon Sep 28 20:36:52 2015	1443452812	1	19	20	19
Mon Sep 28 20:36:50 2015	1443452810	3	18	20	17
Mon Sep 28 20:36:52 2015	1443452812	2	18	20	18
Mon Sep 28 20:36:51 2015	1443452811	1	19	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	19
Mon Sep 28 20:36:51 2015	1443452811	1	19	20	19
Mon Sep 28 20:36:51 2015	1443452811	1	20	20	19
Mon Sep 28 20:36:51 2015	1443452811	1	19	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	19
Mon Sep 28 20:36:51 2015	1443452811	1	19	20	18
Mon Sep 28 20:36:51 2015	1443452811	1	20	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	20	20	19
Mon Sep 28 20:36:52 2015	1443452812	1	19	20	19
Mon Sep 28 20:36:52 2015	1443452812	1	20	20	19
Mon Sep 28 20:36:51 2015	1443452811	1	20	20	19
Mon Sep 28 20:36:52 2015	1443452812	1	20	20	19
Mon Sep 28 20:36:52 2015	1443452812	1	19	20	19
Mon Sep 28 20:36:52 2015	1443452812	2	18	20	18
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	19
Mon Sep 28 20:36:51 2015	1443452811	1	19	20	19
Mon Sep 28 20:36:51 2015	1443452811	1	19	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	19	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	20	20	19
Mon Sep 28 20:36:50 2015	1443452810	1	20	21	19
Mon Sep 28 20:36:51 2015	1443452811	1	20	21	19
Mon Sep 28 20:36:50 2015	1443452810	1	20	21	20
Mon Sep 28 20:36:51 2015	1443452811	1	20	21	20
Mon Sep 28 20:36:52 2015	1443452812	1	20	21	19
Mon Sep 28 20:36:50 2015	1443452810	1	20	21	19
Mon Sep 28 20:36:52 2015	1443452812	2	19	21	19
Mon Sep 28 20:36:51 2015	1443452811	1	20	21	20
Mon Sep 28 20:36:51 2015	1443452811	2	19	21	18
Mon Sep 28 20:36:51 2015	1443452811	1	20	21	19
Mon Sep 28 20:36:52 2015	1443452812	1	20	21	20
Mon Sep 28 20:36:51 2015	1443452811	1	20	21	19
Mon Sep 28 20:36:50 2015	1443452810	2	19	21	19
Mon Sep 28 20:36:52 2015	1443452812	1	20	21	19
Mon Sep 28 20:36:51 2015	1443452811	1	20	21	19
Mon Sep 28 20:36:52 2015	1443452812	1	20	21	20
Mon Sep 28 20:36:51 2015	1443452811	1	20	21	20
Mon Sep 28 20:36:52 2015	1443452812	1	21	21	20
Mon Sep 28 20:36:52 2015	1443452812	2	19	21	18
Mon Sep 28 20:36:52 2015	1443452812	2	19	21	19
Mon Sep 28 20:36:52 2015	1443452812	1	21	21	20
Mon Sep 28 20:36:52 2015	1443452812	1	20	21	20
Mon Sep 28 20:36:50 2015	1443452810	3	19	21	18
Mon Sep 28 20:36:51 2015	1443452811	1	21	21	20
Mon Sep 28 20:36:52 2015	1443452812	1	21	21	20
Mon Sep 28 20:36:50 2015	1443452810	1	21	21	20
Mon Sep 28 20:36:50 2015	1443452810	1	21	21	20
Mon Sep 28 20:36:52 2015	1443452812	3	19	21	18
Mon Sep 28 20:36:51 2015	1443452811	1	21	21	20
Mon Sep 28 20:36:50 2015	1443452810	1	21	21	20
Mon Sep 28 20:36:51 2015	1443452811	1	21	22	20
Mon Sep 28 20:36:52 2015	1443452812	1	21	22	20
Mon Sep 28 20:36:52 2015	1443452812	1	21	22	20
Mon Sep 28 20:36:50 2015	1443452810	1	21	22	20
Mon Sep 28 20:36:50 2015	1443452810	1	21	22	21
Mon Sep 28 20:36:50 2015	1443452810	1	21	22	20
Mon Sep 28 20:36:52 2015	1443452812	1	21	22	20
Mon Sep 28 20:36:50 2015	1443452810	1	21	22	21
Mon Sep 28 20:36:51 2015	1443452811	2	20	22	20
Mon Sep 28 20:36:50 2015	1443452810	1	21	22	20
Mon Sep 28 20:36:51 2015	1443452811	1	21	22	21
Mon Sep 28 20:36:52 2015	1443452812	2	20	22	20
Mon Sep 28 20:36:51 2015	1443452811	1	21	22	21
Mon Sep 28 20:36:50 2015	1443452810	1	21	22	21
Mon Sep 28 20:36:50 2015	1443452810	1	21	22	21
Mon Sep 28 20:36:51 2015	1443452811	1	21	22	21
Mon Sep 28 20:36:50 2015	1443452810	1	21	22	21
Mon Sep 28 20:36:51 2015	1443452811	1	21	22	21
