starttime	seconds	ctime	dtime	ttime	wait
Tue Sep 08 10:09:27 2015	1441687167	3	34	36	32
Tue Sep 08 10:09:28 2015	1441687168	1	35	37	35
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	35
Tue Sep 08 10:09:26 2015	1441687166	2	35	37	34
Tue Sep 08 10:09:26 2015	1441687166	1	36	37	35
Tue Sep 08 10:09:26 2015	1441687166	1	36	37	35
Tue Sep 08 10:09:26 2015	1441687166	2	35	37	34
Tue Sep 08 10:09:26 2015	1441687166	3	34	37	33
Tue Sep 08 10:09:26 2015	1441687166	2	35	37	34
Tue Sep 08 10:09:26 2015	1441687166	3	34	37	33
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	35
Tue Sep 08 10:09:25 2015	1441687165	1	36	37	36
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	35
Tue Sep 08 10:09:28 2015	1441687168	1	36	37	36
Tue Sep 08 10:09:26 2015	1441687166	1	36	37	35
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	36
Tue Sep 08 10:09:27 2015	1441687167	0	36	37	36
Tue Sep 08 10:09:26 2015	1441687166	1	36	37	35
Tue Sep 08 10:09:27 2015	1441687167	3	34	37	34
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	35
Tue Sep 08 10:09:24 2015	1441687164	1	36	37	36
Tue Sep 08 10:09:25 2015	1441687165	2	35	37	35
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	35
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	36
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	35
Tue Sep 08 10:09:25 2015	1441687165	2	36	37	35
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	35
Tue Sep 08 10:09:25 2015	1441687165	1	36	37	36
Tue Sep 08 10:09:25 2015	1441687165	1	36	37	35
Tue Sep 08 10:09:28 2015	1441687168	1	37	37	36
Tue Sep 08 10:09:25 2015	1441687165	1	37	37	36
Tue Sep 08 10:09:27 2015	1441687167	2	35	37	34
Tue Sep 08 10:09:28 2015	1441687168	0	37	37	36
Tue Sep 08 10:09:26 2015	1441687166	1	36	37	36
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	35
Tue Sep 08 10:09:25 2015	1441687165	2	35	37	35
Tue Sep 08 10:09:25 2015	1441687165	2	35	37	35
Tue Sep 08 10:09:25 2015	1441687165	1	37	37	36
Tue Sep 08 10:09:25 2015	1441687165	4	34	37	33
Tue Sep 08 10:09:27 2015	1441687167	1	37	37	36
Tue Sep 08 10:09:27 2015	1441687167	1	36	37	36
Tue Sep 08 10:09:26 2015	1441687166	1	37	37	36
Tue Sep 08 10:09:26 2015	1441687166	3	34	37	34
Tue Sep 08 10:09:26 2015	1441687166	1	37	37	36
Tue Sep 08 10:09:25 2015	1441687165	2	35	38	35
Tue Sep 08 10:09:28 2015	1441687168	2	36	38	35
Tue Sep 08 10:09:26 2015	1441687166	2	36	38	35
Tue Sep 08 10:09:28 2015	1441687168	2	36	38	35
Tue Sep 08 10:09:25 2015	1441687165	2	36	38	35
Tue Sep 08 10:09:25 2015	1441687165	1	37	38	36
Tue Sep 08 10:09:25 2015	1441687165	1	37	38	36
Tue Sep 08 10:09:25 2015	1441687165	1	36	38	36
Tue Sep 08 10:09:25 2015	1441687165	2	36	38	35
Tue Sep 08 10:09:25 2015	1441687165	1	37	38	36
Tue Sep 08 10:09:25 2015	1441687165	2	36	38	35
Tue Sep 08 10:09:27 2015	1441687167	1	37	38	36
Tue Sep 08 10:09:26 2015	1441687166	1	37	38	36
Tue Sep 08 10:09:27 2015	1441687167	1	37	38	36
Tue Sep 08 10:09:26 2015	1441687166	1	37	38	36
Tue Sep 08 10:09:26 2015	1441687166	1	37	38	37
Tue Sep 08 10:09:27 2015	1441687167	1	37	38	37
Tue Sep 08 10:09:26 2015	1441687166	2	36	38	36
Tue Sep 08 10:09:26 2015	1441687166	1	37	38	36
Tue Sep 08 10:09:26 2015	1441687166	2	36	38	35
